processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
SIBSI017-19	USNM 642475	10746234	USNM:Birds:642475	CAG 2730	Smithsonian Institution, National Museum of Natural History		BOLD:AEB3587	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114372	Bubo africanus					Temminck, 1821		Vouchered:Registered Collection	muscle																Tissue ID AH1TE87									Namibia													
SIBSI018-19	USNM 642476	10746235	USNM:Birds:642476	CAG 2731	Smithsonian Institution, National Museum of Natural History		BOLD:AEB3587	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114372	Bubo africanus					Temminck, 1821		Vouchered:Registered Collection	muscle																Tissue ID AH1TE90									Namibia													
TZBNA284-03	1B-3676	3479	1B-3676		Royal Ontario Museum		BOLD:AAC5854	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788																		Bubo virginianus		55	-125							Canada	British Columbia												
TZBRD025-15	ISIS 44733	6219113	ISIS#44733	PM#22398	Metropolitan Toronto Zoo		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus			Michael Dobrovetsky		Linnaeus, 1758												Adult	F	S				Snowy Owl	Captive: 25 years old									Exception - Zoological Park													
YIO590-17	2013-0511	7563987	YIO-70956	2013-0511	Yamashina Institute for Ornithology		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Takema Saitoh							Kunihiro								M	S						43.2836	144.603							Japan	Hokkaido-chiho												
YIO622-17	2015-0054	7564019	YIO-72313	2015-0054	Yamashina Institute for Ornithology		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Takema Saitoh														Adult	F	S						43.827	143.823							Japan	Hokkaido-chiho												
BISE464-08	BISE-Aves355	927782	NRM20056083		Swedish Museum of Natural History		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758													F							63.145	18.832							Sweden	Vasternorrland			Koepmanholmen, Trysunda									
BON177-07	NHMO-BC177	573096	TSZ 392006	NHMO-BI-7927	Tromso University Museum		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus			Yngvar Hagala		Linnaeus, 1758					Yngvar Hagala															70.25	30.57							Norway	Finnmark			Komagvaer									
BROMB776-07	1B-1149	555887		1B-1149	Royal Ontario Museum		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758														S						49	-84							Canada	Ontario												
GBIR0303-06	U83778	507636			Mined from GenBank, NCBI		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758																		Nyctea scandiaca															1883121|1883124|1883123|1883119|1883120|1883122	http://www.boldsystems.org/pics/GBIR/snowy003+1358953046.jpg|http://www.boldsystems.org/pics/GBIR/snowy006+1358954173.jpg|http://www.boldsystems.org/pics/GBIR/snowy005+1358953221.jpg|http://www.boldsystems.org/pics/GBIR/snowy001+1358952890.jpg|http://www.boldsystems.org/pics/GBIR/snowy002+1358952959.jpg|http://www.boldsystems.org/pics/GBIR/snowy004+1358953088.jpg	Image|Image|Image|Image|Image|Image	|||||	David Syzdek|Bill Bouton|U.S. Fish and Wildlife Service Headquarters|David Syzdek|David Syzdek|David Syzdek	2013|2013|2013|2013|2013|2013	CreativeCommons - Attribution Share-Alike|CreativeCommons - Attribution Share-Alike|CreativeCommons - Attribution|CreativeCommons - Attribution Share-Alike|CreativeCommons - Attribution Share-Alike|CreativeCommons - Attribution Share-Alike	Wikimedia Commons|Wikimedia Commons|Wikimedia Commons|Wikimedia Commons|Wikimedia Commons|Wikimedia Commons	David Syzdek|Bill Bouton|U.S. Fish and Wildlife Service Headquarters|David Syzdek|David Syzdek|David Syzdek
